" Cloud Service Provider"," Cloud Service Offering"," Type"," Leveraged A T O"," Authorization Date"," Agency"," Subagency"," Independent Assessor"
"Smartronix, Inc.",Cloud Assured Managed Services (CAMS),Agency,No,02/25/2020,Commodity Futures Trading Commission,,"Coalfire Systems, Inc."
MicroPact,MicroPact Product Suite,Agency,Yes,,Consumer Financial Protection Bureau,,
MAXIMUS Inc.,MAXIMUS Genesys Engagement Platform,Agency,Yes,,Consumer Financial Protection Bureau,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Consumer Financial Protection Bureau,,
Amazon,AWS US East/West,JAB,Yes,,Consumer Financial Protection Bureau,,
BlackBerry,BlackBerry Protect,Agency,Yes,,Consumer Financial Protection Bureau,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Consumer Financial Protection Bureau,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Consumer Financial Protection Bureau,,
Everbridge,Everbridge Suite,Agency,Yes,,Consumer Financial Protection Bureau,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Consumer Financial Protection Bureau,,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Consumer Financial Protection Bureau,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Consumer Financial Protection Bureau,,
MuleSoft,MuleSoft Government Cloud,Agency,Yes,,Consumer Financial Protection Bureau,,
ServiceNow,Government Community Cloud,JAB,Yes,,Consumer Financial Protection Bureau,,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Consumer Financial Protection Bureau,,
AINS,eCase,Agency,Yes,,Consumer Financial Protection Bureau,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Consumer Product Safety Commission,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Consumer Product Safety Commission,,
Akamai,Content Delivery Services,JAB,Yes,,Corporation for National & Community Service (CNCS),,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Corporation for National & Community Service (CNCS),,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Corporation for National & Community Service (CNCS),,
GDT,GDT Government Cloud,JAB,Yes,,Corporation for National & Community Service (CNCS),,
Amazon,AWS GovCloud,JAB,Yes,,Corporation for National & Community Service (CNCS),,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Corporation for National & Community Service (CNCS),,
"Druva, Inc.",Druva inSync,Agency,Yes,,Corporation for National & Community Service (CNCS),,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Corporation for National & Community Service (CNCS),,
Amazon,AWS US East/West,JAB,Yes,,Corporation for National & Community Service (CNCS),,
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,Yes,,Corporation for National & Community Service (CNCS),,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Corporation for National & Community Service (CNCS),,
Everbridge,Everbridge Suite,Agency,Yes,,Corporation for National & Community Service (CNCS),,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Corporation for National & Community Service (CNCS),,
BMC Software,BMC Helix,Agency,Yes,,Corporation for National & Community Service (CNCS),,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Corporation for National & Community Service (CNCS),,
"Proofpoint, Inc.",Proofpoint Email Archive,Agency,Yes,,Corporation for National & Community Service (CNCS),,
Unison,Contracting SaaS,Agency,No,01/31/2019,Corporation for National & Community Service (CNCS),,"Coalfire Systems, Inc."
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Corporation for National & Community Service (CNCS),,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Corporation for National & Community Service (CNCS),,
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,Yes,,Corporation for National & Community Service (CNCS),,
Amazon,AWS GovCloud,JAB,Yes,,Council of the Inspectors General on Integrity and Efficiency,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Council of the Inspectors General on Integrity and Efficiency,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Amazon,AWS US East/West,JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Splunk,Splunk Cloud,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Oracle,Oracle Cloud Infrastructure-Government Cloud,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
McAfee,MVISION Cloud,JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Defense,Defense Acquisition University,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Defense Health Agency,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Department of Defense,Defense Health Agency,
Akamai,Content Delivery Services,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Autonomic Resources a wholly-owned subsidiary of CSRA LLC,CSRA / ARC-P Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
GDT,GDT Government Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
18F,18F Cloud.gov,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Amazon,AWS US East/West,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Avue Technologies,Avue Digital Services,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
IBM,SmartCloud for Government,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Oracle Cloud Infrastructure-Government Cloud,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,Yes,,Department of Defense,Defense Information Systems Agency,
United States Department of the Treasury,Workplace.gov Community Cloud (WC2),Agency,Yes,,Department of Defense,Defense Information Systems Agency,
mLINQS,mLINQS Hosting Service,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Defense Logistics Agency,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Defense,Defense Logistics Agency,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,Defense Logistics Agency,
Akamai,Content Delivery Services,JAB,Yes,,Department of Agriculture,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Agriculture,,
Appian,Appian Cloud,Agency,Yes,,Department of Agriculture,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Agriculture,,
Virtustream,Federal Cloud (VFC),JAB,Yes,,Department of Agriculture,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Agriculture,National Institute of Food and Agriculture,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Agriculture,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Agriculture,,
18F,18F Cloud.gov,JAB,Yes,,Department of Agriculture,United States Forest Service,
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,Yes,,Department of Agriculture,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Agriculture,,
Amazon,AWS US East/West,JAB,Yes,,Department of Agriculture,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Agriculture,,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Agriculture,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Agriculture,,
BMC Software,BMC Helix,Agency,No,09/25/2018,Department of Agriculture,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
BMC Software,BMC Helix,Agency,Yes,,Department of Agriculture,United States Forest Service,
OneSpan Inc.,"OneSpan Sign, E-Signature and Digital Signature Service",Agency,No,10/16/2018,Department of Agriculture,,"Lunarline, Inc."
"Proofpoint, Inc.",Proofpoint Email Archive,Agency,Yes,,Department of Agriculture,,
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,Yes,,Department of Agriculture,,
Axon,Axon Evidence.com,JAB,Yes,,Department of Agriculture,United States Forest Service,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Agriculture,United States Forest Service,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Agriculture,,
MuleSoft,MuleSoft Government Cloud,Agency,Yes,,Department of Agriculture,,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Agriculture,United States Forest Service,
Esri,Esri Managed Cloud Services Advanced Plus,Agency,Yes,,Department of Agriculture,,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,No,07/01/2019,Department of Agriculture,,Emagine IT
IBM,IBM Cloud for Government,JAB,Yes,,Department of Agriculture,United States Forest Service,
General Services Administration,Login.gov,Agency,Yes,,Department of Agriculture,,
Replicon,Replicon Cloud Platform,Agency,No,01/17/2020,Department of Agriculture,,"Schellman & Company, LLC"
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Agriculture,,
DocuSign,DocuSign CLM (formerly SpringCM),Agency,No,05/27/2020,Department of Agriculture,,"Schellman & Company, LLC"
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,Yes,,Department of Agriculture,,
mLINQS,mLINQS Hosting Service,Agency,Yes,,Department of Agriculture,,
AINS,eCase,Agency,Yes,,Department of Agriculture,,
"GDC Integration, Inc.",General Support System (GSS),Agency,No,,Department of Agriculture,,"Paragon Technology Group, Inc."
Akamai,Content Delivery Services,JAB,Yes,,Department of Commerce,United States Census Bureau,
OMB,MAX.gov Shared Services,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Commerce,,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Commerce,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Commerce,United States Patent and Trademark Office,
MAXIMUS Inc.,MAXIMUS Cloud,JAB,Yes,,Department of Commerce,United States Census Bureau,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Commerce,United States Patent and Trademark Office,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
Amazon,AWS GovCloud,JAB,Yes,,Department of Commerce,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Commerce,United States Census Bureau,
Amazon,AWS GovCloud,JAB,Yes,,Department of Commerce,United States Census Bureau,
AirWatch,Airwatch by VMware Government Services (AGS),Agency,No,10/11/2016,Department of Commerce,,"Coalfire Systems, Inc."
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,Yes,,Department of Commerce,,
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,Yes,,Department of Commerce,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Amazon,AWS US East/West,JAB,Yes,,Department of Commerce,,
Amazon,AWS US East/West,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
Amazon,AWS US East/West,JAB,Yes,,Department of Commerce,United States Patent and Trademark Office,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,United States Census Bureau,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,International Trade Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,National Technical Information Service,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,United States Patent and Trademark Office,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,FirstNet,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Commerce,United States Census Bureau,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Commerce,FirstNet,
Everbridge,Everbridge Suite,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Valimail,Valimail Enforce Platform,Agency,No,07/18/2018,Department of Commerce,,"Coalfire Systems, Inc."
"CrowdStrike, Inc.",Falcon Platform,Agency,No,08/02/2018,Department of Commerce,,"Schellman & Company, LLC"
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
GitHub,GitHub Enterprise Cloud,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
OneSpan Inc.,"OneSpan Sign, E-Signature and Digital Signature Service",Agency,Yes,,Department of Commerce,United States Census Bureau,
"VBrick Systems, Inc.",VBrick Rev,Agency,Yes,,Department of Commerce,United States Patent and Trademark Office,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Commerce,United States Census Bureau,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Commerce,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Commerce,United States Patent and Trademark Office,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Commerce,FirstNet,
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,Yes,,Department of Commerce,United States Census Bureau,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Commerce,United States Census Bureau,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Commerce,FirstNet,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
OneStream Software,OneStream XF Cloud,Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
OneStream Software,OneStream XF Cloud,Agency,Yes,,Department of Commerce,FirstNet,
Smartsheet,Smartsheet Gov,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,International Trade Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,FirstNet,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Commerce,FirstNet,
Esri,Esri Managed Cloud Services Advanced Plus,Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
Splunk,Splunk Cloud,Agency,No,08/29/2019,Department of Commerce,,"Schellman & Company, LLC"
"VMware, Inc.",Workspace ONE,Agency,No,08/01/2019,Department of Commerce,,"Coalfire Systems, Inc."
Google,Google Services (Google Cloud Platform Products and underlying Infrastructure),JAB,Yes,,Department of Commerce,United States Patent and Trademark Office,
"The Coleridge Initiative, Inc.",Administrative Data Research Facility (ADRF),Agency,No,02/27/2020,Department of Commerce,,"Lunarline, Inc."
McAfee,MVISION Cloud,JAB,Yes,,Department of Commerce,,
"Lookout, Inc.",Lookout Mobile Endpoint Security,JAB,Yes,,Department of Commerce,FirstNet,
Nutanix,Nutanix Xi Government Cloud,Agency,No,03/19/2020,Department of Commerce,,"Coalfire Systems, Inc."
OCLC Incorporated,WorldShare Management Services,Agency,No,06/18/2020,Department of Commerce,,"Schellman & Company, LLC"
Ivanti,Ivanti Service Manager,Agency,No,06/08/2020,Department of Commerce,,The Cadence Group
"Galvanize, Inc.",HighBond,Agency,Yes,,Department of Commerce,FirstNet,
Google,Google G Suite,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Google,Google G Suite,Agency,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
The Arcanum Group Inc.,Integrated Logistics Management System,Agency,No,09/10/2020,Department of Commerce,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
Infoblox,BloxOne Threat Defense Federal Cloud,Agency,No,,Department of Commerce,,"Coalfire Systems, Inc."
"Proofpoint, Inc.",Proofpoint Security Awareness Training,Agency,No,,Department of Commerce,,
Tenable Public Sector (TPS),Tenable.io,Agency,No,,Department of Commerce,,Emagine IT
Akamai,Content Delivery Services,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Autonomic Resources a wholly-owned subsidiary of CSRA LLC,CSRA / ARC-P Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Defense,United States Air Force,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Defense,United States Army,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Defense,United States Air Force,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Defense,,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Defense,United States Air Force,
GDT,GDT Government Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Oracle Service Cloud (DOD),Agency,No,08/14/2015,Department of Defense,,"Coalfire Systems, Inc."
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Department of Defense,United States Marine Corps,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Defense Health Agency,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Department of the Navy,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Defense Logistics Agency,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,United States Army,
18F,18F Cloud.gov,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,Yes,,Department of Defense,United States Army,
NICE inContact,NICE inContact CXone Customer Experience Platform,Agency,No,08/22/2017,Department of Defense,,The Cadence Group
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Defense,Defense Logistics Agency,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Defense,Washington Headquarters Services,
Amazon,AWS US East/West,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Apptio,The Apptio Technology Business Management (TBM),JAB,Yes,,Department of Defense,United States Strategic Command,
