" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Nuclear Regulatory Commission,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Education,,,F1302201919
"Acuant, Inc.","Connect, Ozone, & Facial Recognition System (COFRS)",JAB,SaaS,No,,,JAB Authorization,,Kratos,FR2104942200
Adobe,Adobe Analytics,Agency,SaaS,No,12/31/2020,09/18/2019,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR1832869359
Adobe,Adobe Campaign,Agency,SaaS,No,08/09/2019,09/03/2019,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR1907354404
Adobe,Adobe Captivate Prime,Agency,SaaS,No,09/26/2019,10/11/2019,Department of Veterans Affairs,,"Coalfire Systems, Inc.",FR1832870021
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,No,06/27/2019,06/27/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Department of Health and Human Services,,,F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Department of Defense,Defense Counterintelligence and Security Agency,,F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Department of Veterans Affairs,,,F1509037236
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,No,05/14/2018,05/14/2018,United States Agency for Global Media,,"Coalfire Systems, Inc.",FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,National Science Foundation,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Department of the Treasury,,,FR1820435960
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,No,05/14/2018,05/14/2018,United States Agency for Global Media,,"Coalfire Systems, Inc.",FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,FR1820435961
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,No,06/27/2019,06/27/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Health and Human Services,,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1509037239
Adobe,Adobe Sign,Agency,SaaS,No,,,Department of Energy,,"Coalfire Systems, Inc.",FR2108360349
AgilQuest Corporation,Forum,Agency,SaaS,No,,,Department of Veterans Affairs,,The Cadence Group,FR2100740435
AINS,eCase,Agency,"PaaS, SaaS",No,09/01/2020,02/21/2014,Department of Housing and Urban Development,,"Coalfire Systems, Inc.",AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Education,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Trade Commission,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Agriculture,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,United States Agency for International Development,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Justice,Office of Justice Programs,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Education,DoED Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of State,State Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Consumer Financial Protection Bureau,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Veterans Affairs,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Tennessee Valley Authority,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Court Services and Offender Supervision Agency,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,United States Trade and Development Agency,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Labor,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Health and Human Services,Food and Drug Administration,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Peace Corps,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Reserve System,,,AGENCYHUDSAAS
Akamai,Content Delivery Services,JAB,IaaS,No,08/23/2013,08/23/2013,JAB Authorization,,"Coalfire Systems, Inc.",F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,General Services Administration,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Education,Federal Student Aid,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Housing and Urban Development,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,National Science Foundation,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Agriculture,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of the Interior,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,United States Agency for International Development,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Energy,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,United States Agency for Global Media,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Education,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of State,State Office of the Inspector General,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Labor,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Nuclear Regulatory Commission,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1206061353
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",No,06/21/2016,06/21/2016,JAB Authorization,,"Coalfire Systems, Inc.",F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,National Labor Relations Board,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,National Science Foundation,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Health Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Millennium Challenge Corporation,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,General Services Administration,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Veterans Affairs,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Transportation,Federal Aviation Administration,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Agriculture,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Homeland Security,Federal Law Enforcement Training Centers,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of the Interior,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Department of the Navy,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Energy,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Universal Service Administrative Company,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Corporation for National & Community Service (CNCS),,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Nuclear Security Administration,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Federal Trade Commission,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Justice,Office of Justice Programs,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Energy,Federal Energy Regulatory Commission,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of the Treasury,Bureau of the Fiscal Service,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,National Aeronautics and Space Administration,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Nuclear Regulatory Commission,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Logistics Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Education,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Information Systems Agency,,F1603047866
Amazon,AWS US East/West,JAB,"IaaS, PaaS",No,11/13/2017,05/01/2013,JAB Authorization,,"Coalfire Systems, Inc.",AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Health Resources and Services Administration,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Housing and Urban Development,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,General Services Administration,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Surface Transportation Board,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Labor,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,National Science Foundation,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Information Systems Agency,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Energy,Federal Energy Regulatory Commission,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Food and Drug Administration,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Veterans Affairs,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Social Security Administration,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Transportation,Federal Aviation Administration,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Consumer Financial Protection Bureau,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Tennessee Valley Authority,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Education,Federal Student Aid,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Corporation for National & Community Service (CNCS),,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Agriculture,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Energy,Energy Information Administration,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Nuclear Security Administration,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of the Interior,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Federal Trade Commission,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,United States Securities and Exchange Commission,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Justice,Office of Justice Programs,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,National Institute of Standards and Technology,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Social Security Administration,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,National Aeronautics and Space Administration,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Nuclear Regulatory Commission,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,United States Agency for International Development,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Labor,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Transportation,Federal Highway Administration,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Millennium Challenge Corporation,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Millennium Challenge Corporation,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Justice,Federal Bureau of Prisons,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Renewable Energy Laboratory,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Education,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Homeland Security,Customs and Border Protection,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,United States Patent and Trademark Office,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Peace Corps,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS",Yes,,,Office of Personnel Management,,,AGENCYAMAZONEW
Amplifire,Amplifire,Agency,SaaS,No,,,Department of Veterans Affairs,,Department of Veterans Affairs,FR2012366611
AppDynamics (a Cisco company),AppDynamics GovAPM,Agency,SaaS,No,04/27/2020,06/10/2020,Department of Health and Human Services,,"Schellman & Company, LLC",FR1823368486
AppDynamics (a Cisco company),AppDynamics GovAPM,Agency,SaaS,Yes,,,National Science Foundation,,,FR1823368486
Appian,Appian Cloud,Agency,PaaS,No,04/23/2015,06/22/2015,Department of Transportation,,"Coalfire Systems, Inc.",F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Department of Labor,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Universal Service Administrative Company,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Department of the Treasury,Bureau of the Fiscal Service,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Department of Education,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Surface Transportation Board,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Nuclear Regulatory Commission,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Department of Agriculture,,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1210011608
Appian,Appian Cloud,Agency,PaaS,Yes,,,United States Securities and Exchange Commission,,,F1210011608
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,No,04/03/2018,04/05/2018,JAB Authorization,,"Coalfire Systems, Inc.",F1603157879
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,Yes,,,Environmental Protection Agency,,,F1603157879
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,Yes,,,General Services Administration,,,F1603157879
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,Yes,,,Department of Defense,United States Strategic Command,,F1603157879
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,F1603157879
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,Yes,,,Department of Veterans Affairs,,,F1603157879
Apptio,The Apptio Technology Business Management (TBM),JAB,SaaS,Yes,,,Department of Justice,,,F1603157879
The Arcanum Group Inc.,Integrated Logistics Management System,Agency,SaaS,No,09/10/2020,09/13/2018,Department of Commerce,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",F1607057911
Armis Public Sector LLC,Armis FedRAMP Edition (AFE),,SaaS,No,,,,,"Schellman & Company, LLC",FR2031936863
Aruba Networks,Aruba Central,Agency,SaaS,No,,,U.S. International Development Finance Corporation,,,FR1908649566
AT&T Cybersecurity,AT&T Threat Detection and Response for Government,Agency,SaaS,No,,,National Transportation Safety Board,,Kratos,FR1920363607
"Aunalytics, Inc.",Aunalytics Cloud,,IaaS,No,,,,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2033253261
"Aurigo Software Technologies, Inc.",Aurigo Masterworks Cloud and Aurigo Essentials,,SaaS,No,,,,,The Cadence Group,FR2031222637
"Authentic8, Inc.",Silo,Agency,SaaS,No,11/19/2020,03/29/2021,Department of Homeland Security,,Kratos,FR1814168113
"Automattic, Inc.",WordPress VIP Go,Agency,SaaS,No,02/18/2021,03/29/2021,Department of Veterans Affairs,,"MindPoint Group, LLC",FR1923743650
"Avaya, Inc.",Avaya Cloud Secure,Agency,SaaS,No,01/29/2021,04/29/2019,United States House of Representatives,,"Coalfire Systems, Inc.",F1506046708
"Avaya, Inc.",Avaya Cloud Secure,Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1506046708
AvePoint Inc.,AvePoint Online Services for US Government (AOS-USG),Agency,SaaS,No,01/29/2021,03/31/2021,Department of Energy,,"Lunarline, Inc.",FR2025827270
Avue Technologies,Avue Digital Services,Agency,SaaS,No,03/23/2018,04/17/2015,Department of Justice,,"TalaTek, LLC",F1206191394
Avue Technologies,Avue Digital Services,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1206191394
Avue Technologies,Avue Digital Services,Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1206191394
